name;email;age;salary;isActive
Alberto;Alberto_Hills92@hotmail.com;43;1593;false
Sabryna;Sabryna75@hotmail.com;83;3705;false
Dylan;Dylan67@yahoo.com;51;4814;true
Ena;Ena90@yahoo.com;14;4768;true
Caroline;Caroline57@hotmail.com;54;7990;true
Halle;Halle_Barton55@hotmail.com;37;3796;false
Alexandria;Alexandria.Turner55@hotmail.com;98;1681;false
Kenna;Kenna_Weimann@gmail.com;39;2723;true
Jailyn;Jailyn.Aufderhar@hotmail.com;90;3015;false
Cody;Cody.Raynor@hotmail.com;88;6106;false
Leopoldo;Leopoldo.Towne@gmail.com;22;4019;false
Malachi;Malachi12@hotmail.com;66;3408;false
Amani;Amani.Howe@gmail.com;20;7588;false
Alia;Alia.Grant66@hotmail.com;30;7213;true
Rose;Rose_Wiza@yahoo.com;50;4997;true
Manley;Manley_Muller@gmail.com;75;4651;false
Austyn;Austyn0@yahoo.com;23;9958;false
Graham;Graham81@yahoo.com;24;6613;true
Jamison;Jamison17@hotmail.com;53;7091;false
Rosalia;Rosalia_Haley@yahoo.com;97;9149;true
Felicia;Felicia.Bahringer61@yahoo.com;73;9882;true
Magdalen;Magdalen0@yahoo.com;84;6220;true
Dillon;Dillon99@gmail.com;87;7851;true
Isom;Isom39@gmail.com;43;5689;true
Alene;Alene82@yahoo.com;93;5425;true
Freddie;Freddie72@hotmail.com;45;7895;true
Fatima;Fatima44@hotmail.com;40;8276;false
Stephany;Stephany75@yahoo.com;44;3265;false
Kiley;Kiley.Lueilwitz@hotmail.com;85;3605;true
Fleta;Fleta_Reinger17@gmail.com;65;0974;false
Emiliano;Emiliano56@hotmail.com;33;2587;false
Zena;Zena_Spinka@hotmail.com;32;2207;false
Emely;Emely_Champlin71@yahoo.com;42;1047;true
Forest;Forest97@hotmail.com;76;7916;false
Destinee;Destinee.McClure@hotmail.com;34;7670;true
Evelyn;Evelyn_Feil34@hotmail.com;95;0372;false
Seth;Seth98@gmail.com;10;7544;false
Stephanie;Stephanie27@gmail.com;82;3905;true
Adeline;Adeline84@yahoo.com;61;3615;true
Stacey;Stacey.Nikolaus93@gmail.com;68;9179;false
Orland;Orland97@hotmail.com;86;3943;false
